Fecha,Hora,ID Tienda,Tienda,Entradas,Venta,Tickets,Artículos,Ticket Promedio,Artículos por Ticket,Tasa de conversión
2019-12-23,08:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-23,09:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-23,10:00,T024,TIENDA SAN DIEGO,51,673270,5,13,134654,2.6,9.8
2019-12-23,11:00,T024,TIENDA SAN DIEGO,100,1572210,15,26,104814,1.73,15
2019-12-23,12:00,T024,TIENDA SAN DIEGO,124,2679786,23,48,116512.43,2.09,18.55
2019-12-23,13:00,T024,TIENDA SAN DIEGO,144,2232814,22,42,101491.55,1.91,15.28
2019-12-23,14:00,T024,TIENDA SAN DIEGO,135,3295436,25,54,131817.44,2.16,18.52
2019-12-23,15:00,T024,TIENDA SAN DIEGO,151,2216181,18,43,123121.17,2.39,11.92
2019-12-23,16:00,T024,TIENDA SAN DIEGO,162,3975743,28,71,141990.82,2.54,17.28
2019-12-23,17:00,T024,TIENDA SAN DIEGO,207,4002324,33,71,121282.55,2.15,15.94
2019-12-23,18:00,T024,TIENDA SAN DIEGO,198,3450444,34,57,101483.65,1.68,17.17
2019-12-23,19:00,T024,TIENDA SAN DIEGO,145,3975398,33,69,120466.61,2.09,22.76
2019-12-23,20:00,T024,TIENDA SAN DIEGO,0,2595403,21,41,123590.62,1.95,0
2019-12-23,21:00,T024,TIENDA SAN DIEGO,0,2009227,14,30,143516.21,2.14,0
2019-12-23,22:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-23,23:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-24,08:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-24,09:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-24,10:00,T024,TIENDA SAN DIEGO,81,832795,9,16,92532.78,1.78,11.11
2019-12-24,11:00,T024,TIENDA SAN DIEGO,108,2291436,16,46,143214.75,2.88,14.81
2019-12-24,12:00,T024,TIENDA SAN DIEGO,114,3809213,26,70,146508.19,2.69,22.81
2019-12-24,13:00,T024,TIENDA SAN DIEGO,178,2191720,16,41,136982.5,2.56,8.99
2019-12-24,14:00,T024,TIENDA SAN DIEGO,131,2870099,21,53,136671.38,2.52,16.03
2019-12-24,15:00,T024,TIENDA SAN DIEGO,120,3117428,27,58,115460.3,2.15,22.5
2019-12-24,16:00,T024,TIENDA SAN DIEGO,135,3377022,28,56,120607.93,2,20.74
2019-12-24,17:00,T024,TIENDA SAN DIEGO,98,2679889,25,46,107195.56,1.84,25.51
2019-12-24,18:00,T024,TIENDA SAN DIEGO,2,137744,2,3,68872,1.5,100
2019-12-24,19:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-24,20:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-24,21:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-24,22:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-24,23:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,08:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,09:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,10:00,T024,TIENDA SAN DIEGO,5,0,0,0,0,0,0
2019-12-25,11:00,T024,TIENDA SAN DIEGO,11,32605,2,2,16302.5,1,18.18
2019-12-25,12:00,T024,TIENDA SAN DIEGO,9,0,0,0,0,0,0
2019-12-25,13:00,T024,TIENDA SAN DIEGO,13,105790,1,2,105790,2,7.69
2019-12-25,14:00,T024,TIENDA SAN DIEGO,7,66547,1,1,66547,1,14.29
2019-12-25,15:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,16:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,17:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,18:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,19:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,20:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,21:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,22:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
2019-12-25,23:00,T024,TIENDA SAN DIEGO,0,0,0,0,0,0,0
